City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,yuzhno-kurilsk,44.0306,145.8556,1.32,64,19,4.71,RU,1701548459
317,maloye ganyushkino,46.6,49.2667,10.55,82,100,4.22,KZ,1701548662
318,silvania,-16.6589,-48.6081,25.42,61,75,3.81,BR,1701548663
319,dersca,47.9833,26.2,2.4,98,83,3.15,RO,1701548663
320,kish,26.5578,54.0194,23.15,73,0,3.09,IR,1701548664
321,wajir,1.7471,40.0573,28.44,53,12,3.56,KE,1701548664
322,laojunmiao,39.8333,97.7333,-2.57,24,45,0.39,CN,1701548665
323,nabire,-3.3667,135.4833,23.84,92,87,1.42,ID,1701548665
324,rosso,16.4986,-15.8153,27.51,34,14,5.33,SN,1701548666
325,coyhaique,-45.5752,-72.0662,9.34,71,75,1.54,CL,1701548667
326,willingen,51.3,8.6167,-3.68,94,98,3.23,DE,1701548667
327,songyang,34.4553,113.0281,2.95,29,1,0.56,CN,1701548668
328,zarghun shahr,32.8473,68.4457,4.21,41,100,0.3,AF,1701548668
329,recani,31.2846,-4.2688,16.09,43,3,2.3,MA,1701548669
330,nema,57.5067,50.5011,-9.96,95,93,3.45,RU,1701548669
331,candolim,15.5181,73.7626,26.0,83,20,1.54,IN,1701548670
332,bouna,9.2667,-3.0,29.53,33,94,2.2,CI,1701548670
333,lerwick,60.1545,-1.1494,3.0,71,99,3.99,GB,1701548671
334,port nelson,23.6333,-74.8333,27.24,76,61,6.13,BS,1701548671
335,mbulu,-3.85,35.5333,16.34,90,100,2.65,TZ,1701548672
336,igarka,67.4667,86.5833,-30.01,96,7,4.53,RU,1701548659
337,pundong,-7.9522,110.3486,25.3,84,100,1.07,ID,1701548673
338,arroyo de la encomienda,41.6096,-4.7969,7.28,84,0,2.57,ES,1701548673
339,santo antonio do ica,-3.1022,-67.9397,28.21,85,99,0.56,BR,1701548674
340,salinas,36.6777,-121.6555,18.65,72,0,2.06,US,1701548579
341,gulf shores,30.246,-87.7008,21.18,82,100,5.66,US,1701548675
342,ekibastuz,51.6667,75.3667,3.22,67,100,10.51,KZ,1701548675
343,iskateley,67.6803,53.1512,-9.99,95,100,5.36,RU,1701548483
344,daru,-9.0763,143.2092,27.17,83,100,3.48,PG,1701548676
345,island harbour,50.724,-1.2758,7.74,94,16,0.45,GB,1701548677
346,roxborough park,39.4739,-105.0853,5.05,29,43,6.26,US,1701548677
347,lihue,21.9789,-159.3672,26.87,77,0,2.06,US,1701548678
348,crane,31.3974,-102.3501,16.7,25,0,8.55,US,1701548679
349,puerto francisco de orellana,-0.4667,-76.9667,27.03,78,75,1.54,EC,1701548416
350,isafjordur,66.0755,-23.124,-3.43,73,35,2.19,IS,1701548680
351,naze,28.3667,129.4833,14.51,66,100,4.57,JP,1701548680
352,general conesa,-40.1,-64.4333,21.45,8,3,6.94,AR,1701548471
353,bodo,67.28,14.405,-5.68,70,100,8.23,NO,1701548577
354,nar'yan-mar,67.6713,53.087,-9.94,95,100,5.36,RU,1701548681
355,winnemucca,40.973,-117.7357,8.03,49,100,4.63,US,1701548682
356,carahue,-38.7,-73.1667,13.65,41,4,4.81,CL,1701548682
357,port alfred,-33.5906,26.891,17.88,93,72,4.02,ZA,1701548683
358,kailua-kona,19.6406,-155.9956,27.93,84,40,2.06,US,1701548563
359,makueni boma,-1.8041,37.6203,18.06,90,16,1.37,KE,1701548684
360,valle de la pascua,9.2155,-66.0073,31.47,44,95,3.01,VE,1701548684
